"oblast_intervence_nazev_en";"oblast_intervence_kod";"climate_share";"sc_id";"sc_nazev";"op_zkr";"op_id";"fin_pravniakt_czv";"fin_pravniakt_eu";"fin_pravniakt_narodni_verejne";"fin_pravniakt_soukr";"fin_vyuct_czv";"fin_vyuct_eu";"fin_vyuct_narodni_verejne";"fin_vyuct_verejne";"fin_vyuct_soukr";"fin_vyuct_narodni";"n_prj"
NA;" III.0.055";NA;"06.6.127.6.1";"REACT-EU";"IROP";"06";"7677453,89500000";"6525835,81000000";"1057321,835000000";"94296,250000000";"5782731,1749999998";"4915321,4950000001";"867409,68000000005";"5782731,1749999998";"0,000000000000000000000000000";"867409,67999999970";"2"
NA;" III.0.055";NA;NA;NA;"IROP";"06";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"6"
NA;" IV.1.060";NA;NA;NA;"OP PIK";"01";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
NA;" IV.1.061";NA;NA;NA;"OP PIK";"01";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"20"
NA;" IV.1.064";NA;NA;NA;"OP PIK";"01";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"50"
NA;" IV.1.065";NA;NA;NA;"OP PIK";"01";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
NA;" IV.4.088";NA;NA;NA;"IROP";"06";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"15"
NA;" IX.0.122";NA;"08.1.125.1.1";"Vytvořit podmínky pro naplnění cílů Dohody o partnerství a koordinace řízení";"OP TP";"08";"6172500,00000000";"5246625,00000000";"925875,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
NA;" IX.0.122";NA;NA;NA;"OP VVV";"02";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"2"
NA;" IX.0.123";NA;NA;NA;"OP VVV";"02";"0,00000000";"0,00000000";"0,000000000";"0,000000000";"0,0000000000";"0,0000000000";"0,00000000000";"0,0000000000";"0,000000000000000000000000000";"0,00000000000";"1"
