"op_zkr";"climate_share";"fin_vyuct_narodni";"fin_vyuct_eu";"fin_vyuct_czv";"fin_pravniakt_czv";"fin_pravniakt_eu";"fin_pravniakt_narodni_verejne";"fin_pravniakt_soukr";"fin_vyuct_narodni_verejne";"fin_vyuct_verejne";"fin_vyuct_soukr"
"IROP";"0,0";"12240758962,18505859";"71069877947,92531";"83310636910,11036682";"142257627807,741852";"123364078225,058014";"16656197954,84388";"2237351627,8400";"10628213704,66505623";"81698091652,59037781";"1612545257,5200006961822509765625"
"IROP";"0,4";"2190249955,10199976";"12411416394,57799";"14601666349,67999840";"18141422501,935009";"15420209125,189999";"1215051533,49500";"1506161843,2500";"878793410,88199973";"13290209805,45999908";"1311456544,2200000286102294921875"
"IROP";"1,0";"10971030608,73293304";"8936047498,14168";"19907078106,87461090";"30018095137,708069";"13559679867,731997";"4061412058,74612";"12397003211,2300";"2434787496,77294350";"11370834994,91463089";"8536243111,9599809646606445312500"
"IROP";NA;"985584,18000000";"5584976,99500";"6570561,17500000";"7677453,895000";"6525835,810000";"1057321,83500";"94296,2500";"946192,68000000";"6531169,67500000";"39391,5000000000000000000000"
"OP D";"0,0";"7330045746,84999943";"41536925874,45000";"48866971621,30000305";"72610408158,649994";"61718846934,830009";"10891561223,82000";"0,0000";"7330045746,84999847";"48866971621,29998779";"-0,0000000707805156707764"
"OP D";"0,4";"8719511796,17000008";"48021322203,67000";"56740833999,84000397";"82954314940,389999";"69618804148,220001";"10782478437,58000";"2553032354,5900";"8034264956,68999958";"56055587160,36000824";"685246839,4800000190734863281250"
"OP D";"1,0";"32594812,53000000";"40161480,12000";"72756292,64999999";"1728183143,330000";"1016179835,080000";"0,00000";"712003308,2500";"0,00000000";"40161480,12000000";"32594812,5300000011920928955078"
"OP PIK";"0,0";"46710123142,76447296";"37359016541,06408";"84069139683,82853699";"142603867584,626923";"67327399355,610001";"1327735458,67000";"73948732770,3470";"405580444,33999991";"37764596985,40408325";"46304542698,4244689941406250000000"
"OP PIK";"0,4";"1384886003,19999909";"1131536012,85000";"2516422016,05000019";"4256206142,580000";"1906999247,210001";"0,00000";"2349206895,3700";"0,00000000";"1131536012,84999919";"1384886003,1999990940093994140625"
"OP PIK";"1,0";"15338791529,79552078";"10653410472,27589";"25992202002,07145309";"57278749940,553055";"23130472257,299953";"29969062,50000";"34118308620,7531";"0,00000000";"10653410472,27588844";"15338791529,7955207824707031250000"
"OP PIK";NA;"0,00000000";"0,00000";"0,00000000";"0,000000";"0,000000";"0,00000";"0,0000";"0,00000000";"0,00000000";"0,0000000000000000000000"
"OP PPR";"0,0";"2355438444,95000029";"2355408435,91000";"4710846880,85999966";"7338636542,330001";"3669318270,360001";"3070253515,53000";"599064756,4400";"1974856290,40999985";"4330264726,32000065";"380582154,5399999618530273437500"
"OP PPR";"0,4";"209852157,64999998";"209852157,61000";"419704315,25999999";"1192400385,000000";"596200192,500000";"453049654,00000";"143150538,5000";"167881726,09999999";"377733883,71000004";"41970431,5499999970197677612305"
"OP PPR";"1,0";"508257555,60000002";"508257555,32000";"1016515110,91999996";"1793407125,880000";"896703562,900000";"660463502,37000";"236240060,6100";"367469247,27999997";"875726802,60000014";"140788308,3199999928474426269531"
"OP TP";"0,0";"825655048,93499994";"4678711915,93500";"5504366964,86999893";"7327589139,670001";"6228450768,150002";"1099138371,52000";"0,0000";"825655048,93499994";"5504366964,86999893";"0,0000000344589352607727"
"OP TP";NA;"11127,52500000";"63055,97500";"74183,50000000";"8439921,000000";"7173932,850000";"1265988,15000";"0,0000";"11127,52500000";"74183,50000000";"0,0000000000000000000000"
"OP VVV";"0,0";"13274921136,76665878";"55924582211,34000";"69199503348,10662842";"97135407978,823349";"78293238712,018295";"17026569450,58500";"1815599816,2200";"11776840480,41666412";"67701422691,75666046";"1498080656,3499991893768310546875"
"OP VVV";NA;"1838348,20333333";"7835811,63000";"9674159,83333333";"342623456,106667";"241656689,791667";"100966766,31500";"0,0000";"1838348,20333333";"9674159,83333333";"0,0000000000000000000000"
"OP Z";"0,0";"10080907456,00000191";"47680986352,27501";"57761893808,27498627";"81972994178,960007";"67448114157,775024";"13459663161,89502";"1065216859,2900";"9383516172,84000397";"57064502525,11497498";"697391283,1599998474121093750000"
"OP Z";NA;"257556,42000000";"257556,41500";"515112,83500000";"1252357157,500000";"1008422224,775000";"243934932,72500";"0,0000";"257556,42000000";"515112,83500000";"0,0000000000000000000000"
"OP ŽP";"0,0";"4601830948,88000202";"22165311516,80000";"26767142465,68000793";"32820188524,390007";"26464133898,080017";"4490249645,99000";"1865804980,3200";"3703685827,27000141";"25868997344,07000351";"898145121,6100003719329833984375"
"OP ŽP";"0,4";"3492224077,11999941";"21211431570,03000";"24703655647,15000153";"35301617284,349998";"29820667005,600002";"1958111917,28000";"3522838361,4700";"1407487061,71999979";"22618918631,75000381";"2084737015,3999998569488525390625"
"OP ŽP";"1,0";"8047828814,26999950";"6460611635,63000";"14508440449,89998245";"21765552037,739990";"9735510057,839996";"11866508650,98000";"163533328,9200";"7982439746,94999886";"14443051382,57998085";"65389067,3199999704957008361816"
"PRV";"0,0";"12292664459,59999847";"17035112128,29000";"29327776587,88999939";"0,000000";"0,000000";"0,00000";"0,0000";"0,00000000";"0,00000000";"0,0000000000000000000000"
"PRV";"0,4";"1375172751,48000002";"1411505050,42000";"2786677801,89999962";"0,000000";"0,000000";"0,00000";"0,0000";"0,00000000";"0,00000000";"0,0000000000000000000000"
"PRV";"1,0";"5817360331,59000015";"17427581457,83000";"23244941789,41999817";"0,000000";"0,000000";"0,00000";"0,0000";"0,00000000";"0,00000000";"0,0000000000000000000000"
