oblast_intervence_nazev_en,oblast_intervence_kod,climate_share,op_zkr,op_id,fin_pravniakt_czv,fin_pravniakt_eu,fin_pravniakt_narodni_verejne,fin_pravniakt_soukr,fin_vyuct_czv,fin_vyuct_eu,fin_vyuct_narodni_verejne,fin_vyuct_verejne,fin_vyuct_soukr,fin_vyuct_narodni,n_prj,prv_opatreni_orig,prv_opatreni_id,prv_opatreni_typ,prv_opatreni_nazev
Other social infrastructure contributing to regional and local development,III.0.055,0,IROP,06,6519989374.239996,5541990967.189999,851490997.5099996,126507409.54000004,4640493981.729998,3944419881.5800014,603107199.7400008,4547527081.320002,92966900.41000016,696074100.1500008,498,NA,NA,NA,NA
Other social infrastructure contributing to regional and local development,III.0.055,0,OP PPR,07,600956047.09,300478023.49000007,263243409.16999996,37234614.43000001,403303804.28,201651901.86999997,169992207.49000004,371644109.35999995,31659694.919999998,201651902.41000003,64,NA,NA,NA,NA
"Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities",IV.1.056,0,OP PIK,01,15365387873.345005,6783701523.155005,0,8581686350.190003,9971348630.279999,4376966754.525,0,4376966754.525,5594381875.755002,5594381875.755002,1192,NA,NA,NA,NA
"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities",IV.1.057,0,OP PIK,01,7910383912.075002,2786013852.7550006,0,5124370059.32,6848763863.925,2430026150.6699996,0,2430026150.6699996,4418737713.255001,4418737713.255001,240,NA,NA,NA,NA
Research and innovation infrastructure (public),IV.1.058,0,OP PIK,01,1416510238.9,885888776.04,104792143.26,425829319.59999996,654319551.04,396920821.39,47954391.46,444875212.8499999,209444338.19,257398729.65,23,NA,NA,NA,NA
Research and innovation infrastructure (public),IV.1.058,0,OP VVV,02,17807680620.24495,14225268485.037003,2908920451.3414106,673491683.8665291,13849678310.625061,11108765085.195599,2179171720.096142,13287936805.29175,561741505.3333192,2740913225.429461,161,NA,NA,NA,NA
"Research and innovation infrastructure (private, including science parks)",IV.1.059,0,OP PIK,01,3762340630.8699994,1947160095.73,48346515.32,1766834019.82,1511845134.2499998,756133500.5099998,0,756133500.5099998,755711633.7400001,755711633.7400001,50,NA,NA,NA,NA
Research and innovation activities in public research centres and centres of competence including networking,IV.1.060,0,OP PIK,01,2404760248.055418,1564522106.9287012,7204585.982838651,833033555.1438822,737817196.5905713,471994293.47278225,0,471994293.47278225,265822903.11778983,265822903.11778983,428,NA,NA,NA,NA
Research and innovation activities in public research centres and centres of competence including networking,IV.1.060,0,OP VVV,02,6472470307.4379835,5099281113.898002,1263265155.1142972,109924038.42568584,4685376187.691262,3665299737.7130733,938111000.0227897,4603410737.735864,81965449.95539972,1020076449.9781897,64,NA,NA,NA,NA
Research and innovation activities in private research centres including networking,IV.1.061,0,OP PIK,01,19894275695.11648,11628374157.909267,1914008.296863435,8263987528.91036,9321558174.236063,5441090038.960401,0,5441090038.960401,3880468135.275662,3880468135.275662,1408,NA,NA,NA,NA
Research and innovation activities in private research centres including networking,IV.1.061,0,OP VVV,02,12500784682.237076,9640036664.445,2721346014.5942907,139402003.19778475,7414763919.273668,5715146034.77132,1595754270.3310678,7310900305.102387,103863614.17128015,1699617884.5023477,45,NA,NA,NA,NA
Technology transfer and university-enterprise cooperation primarily benefiting SMEs,IV.1.062,0,OP PIK,01,309957324.3,216970127.00000003,0,92987197.30000001,165220158.82000002,115654110.53999998,0,115654110.53999998,49566048.27999998,49566048.27999998,80,NA,NA,NA,NA
Technology transfer and university-enterprise cooperation primarily benefiting SMEs,IV.1.062,0,OP PPR,07,1496321968.1699998,748160984.04,598528787.1700001,149632196.96,848001373.0099999,424000685.9800001,339200548.79,763201234.7700001,84800138.24000001,424000687.03,64,NA,NA,NA,NA
Cluster support and business networks primarily benefiting SMEs,IV.1.063,0,OP PIK,01,3802566349.75,2125712715.5999994,0,1676853634.1500008,1860579418.1639993,1028782181.278,0,1028782181.278,831797236.8859997,831797236.8859997,269,NA,NA,NA,NA
"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",IV.1.064,0,OP PIK,01,8808800425.694998,3617603664.004998,222500,5190974261.690002,5819718741.374999,2401878438.865,0,2401878438.865,3417840302.51,3417840302.51,2344,NA,NA,NA,NA
"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",IV.1.064,0,OP PPR,07,150666195,75333097.5,60266478,15066619.5,60173924.54000001,30086962.26,24069569.790000003,54156532.05,6017392.490000002,30086962.280000005,5,NA,NA,NA,NA
"Research and innovation infrastructure, processes, technology transfer and cooperation in enterprises focusing on the low carbon economy and on resilience to climate change",IV.1.065,1,OP PIK,01,9434160923.143082,3138639076.3900003,0,6295521846.753079,1287675340.841423,517208000.3259017,0,517208000.3259017,770467340.5155218,770467340.5155218,197,NA,NA,NA,NA
"Advanced support services for SMEs and groups of SMEs (including management, marketing and design services)",IV.2.066,0,OP PIK,01,2345619847.679999,1351497932.3799999,77661400.25,916460515.0499997,1436330275.9500008,796356884.3500003,33510749.909999996,829867634.2600002,606462641.6900005,639973391.6000006,894,NA,NA,NA,NA
"Advanced support services for SMEs and groups of SMEs (including management, marketing and design services)",IV.2.066,0,OP PPR,07,391497617.1,195748808.55,137720089.19,58028719.36,251241906.384,125620953.14699998,97740360.36999997,223361313.51699996,27880592.86700005,125620953.23700002,3,NA,NA,NA,NA
"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)",IV.2.067,0,OP PIK,01,20780811891.800014,8620760950.199986,0,12160050941.60001,12506897445.489977,5293424653.399991,0,5293424653.399991,7213472792.089994,7213472792.089994,2056,NA,NA,NA,NA
"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)",IV.2.067,0,OP PPR,07,398356978.53,199178489.25,86690597.72999999,112487891.55,234902726.186,117436363.01300001,72104549.26,189540912.273,45361813.913,117466363.17300001,12,NA,NA,NA,NA
Energy efficiency and demonstration projects in SMEs and supporting measures,IV.2.068,1,OP PIK,01,22546772701.98997,10389674813.419958,0,12157097888.570057,12861379481.320023,5945200126.279987,0,5945200126.279987,6916179355.039996,6916179355.039996,3108,NA,NA,NA,NA
Support to environmentally-friendly production processes and resource efficiency in SMEs,IV.2.069,0.4,OP PIK,01,3553947858.36,1641214368.1700003,0,1912733490.1899984,2011085676.8200004,965729107.6999992,0,965729107.6999992,1045356569.119999,1045356569.119999,986,NA,NA,NA,NA
Promotion of energy efficiency in large enterprises,IV.2.070,1,OP PIK,01,14256245126.820002,4340633504.239995,0,9915611622.579996,6610450862.6900015,2025560066.5000002,0,2025560066.5000002,4584890796.190003,4584890796.190003,795,NA,NA,NA,NA
Business infrastructure for SMEs (including industrial parks and sites),IV.2.072,0,OP PIK,01,10989247331.390001,4649620517.03,0,6339626814.36,7400317261.700002,3169832353.700001,0,3169832353.700001,4230484908.0000005,4230484908.0000005,447,NA,NA,NA,NA
Support to social enterprises (SMEs),IV.2.073,0,IROP,06,652324248.9200002,554475611.4200001,0,97848637.49999993,559653233.56,475705248.03,0,475705248.03,83947985.53000002,83947985.53000002,199,NA,NA,NA,NA
Support to social enterprises (SMEs),IV.2.073,0,OP PPR,07,58832552.300000004,29416276.14,29416276.159999996,0,42954447.18,21477223.560000002,21477223.619999997,42954447.18,-5.820766091346741e-11,21477223.619999997,22,NA,NA,NA,NA
Development and promotion of commercial tourism assets in SMEs,IV.2.074,0,OP PIK,01,748603522.79,321636915.5799999,0,426966607.21,38091544.53,17141195.009999998,0,17141195.009999998,20950349.520000003,20950349.520000003,27,NA,NA,NA,NA
"e-Government services and applications (including e-Procurement, ICT measures supporting the reform of public administration, cyber-security, trust and privacy measures, e-Justice and e-Democracy)",IV.3.078,0,IROP,06,9799023424.099998,8078009416.020008,1498038093.7799997,222975914.29999992,4114558506.3899994,3432229412.599997,566587075.2500002,3998816487.8499985,115742018.54000005,682329093.7900002,359,NA,NA,NA,NA
"ICT Services and applications for SMEs (including e-Commerce, e-Business and networked business processes), living labs, web entrepreneurs and ICT start-ups)",IV.3.082,0,OP PIK,01,5313870412.85,2265028820.410001,0,3048841592.44,4392479938.139998,1867426602.9700005,0,1867426602.9700005,2525053335.17,2525053335.17,532,NA,NA,NA,NA
Air quality measures,IV.4.083,0.4,OP ŽP,05,18334478447.649998,15260878907.36001,157676635.57000005,2915922904.7200003,14246419932.629997,12318360306.609997,110395773.14000002,12428756079.750002,1817663852.8799996,1928059626.0199995,328,NA,NA,NA,NA
"Protection and enhancement of biodiversity, nature protection and green infrastructure",IV.4.085,0.4,OP ŽP,05,8863852245.569998,7936452141.750014,688706081.4300001,238694022.39000008,5105743126.880007,4547972314.249995,434072994.0200002,4982045308.2699995,123697818.61,557770812.63,2173,NA,NA,NA,NA
"Protection, restoration and sustainable use of Natura 2000 sites",IV.4.086,0.4,OP ŽP,05,1408751778.5099995,1233418481.7899997,148955531.53000003,26377765.19,838995461.54,762013455.5900002,70613306.85,832626762.44,6368699.100000001,76982005.94999999,94,NA,NA,NA,NA
