oblast_intervence_nazev_en,oblast_intervence_kod,climate_share,op_zkr,op_id,fin_pravniakt_czv,fin_pravniakt_eu,fin_pravniakt_narodni_verejne,fin_pravniakt_soukr,fin_vyuct_czv,fin_vyuct_eu,fin_vyuct_narodni_verejne,fin_vyuct_verejne,fin_vyuct_soukr,fin_vyuct_narodni,n_prj,prv_opatreni_orig,prv_opatreni_id,prv_opatreni_typ,prv_opatreni_nazev
"Equality between men and women in all areas, including in access to employment, career progression, reconciliation of work and private life and promotion of equal pay for equal work",V.0.105,0,OP Z,03,8711127509.579998,7027829372.660008,1524134724.9300032,159163411.98999995,6733575175.949997,5441881473.539999,1166967050.0500016,6608848523.589995,124726652.36000012,1291693702.4100013,2953,NA,NA,NA,NA
"Adaptation of workers, enterprises and entrepreneurs to change",V.0.106,0,OP Z,03,16985707820.429998,14009368757.554993,2254579878.3449993,721759184.5299971,10393736348.599993,8577396643.310003,1389382726.6,9966779369.90999,426956978.68999964,1816339705.290001,2886,NA,NA,NA,NA
"Modernisation of labour market institutions, such as public and private employment services, and improving the matching of labour market needs, including throughactions that enhance transnational labour mobility as well as through mobility schemes and better cooperation between institutions and relevant stakeholders",V.0.108,0,OP Z,03,2805288533.54,2311249169.7799997,494039363.76000005,0,1826638686.9699993,1504949346.9599998,321689340.00999993,1826638686.9699993,-1.1175870895385742e-8,321689340.01000005,14,NA,NA,NA,NA
"Active inclusion, including with a view to promoting equal opportunities and active participation, and improving employability",VI.0.109,0,OP Z,03,13538889628.797325,11157918473.071821,2310746690.143994,70224465.58152625,10326158686.783634,8556362799.297871,1711075419.935315,10267438219.233175,58720467.550454676,1769795887.4857705,1012,NA,NA,NA,NA
Socio-economic integration of marginalised communities such as the Roma,VI.0.110,0,OP VVV,02,5250656468.294531,4363373820.871236,841908903.6533389,45373743.77,2939016142.0132,2452633460.6875286,443959730.8957022,2896593191.5832,42422950.42999998,486382681.32570195,7993,NA,NA,NA,NA
Combating all forms of discrimination and promoting equal opportunities,VI.0.111,0,OP VVV,02,741458675.0448179,610671621.9819577,130787053.06285796,0,512094149.8862209,420814994.7065574,91279155.17966376,512094149.8862209,6.544662755900582e-9,91279155.17966376,2335,NA,NA,NA,NA
"Enhancing access to affordable, sustainable and high-quality services, including health care and social services of general interest",VI.0.112,0,OP PPR,07,776961377.01,388480688.26000017,385577617.2499999,2903071.4999999995,622418309.8900005,311209153.4600002,309195008.12000006,620404161.5800006,2014148.3099999884,311209156.43,177,NA,NA,NA,NA
"Enhancing access to affordable, sustainable and high-quality services, including health care and social services of general interest",VI.0.112,0,OP Z,03,6683980149.771648,5206582511.161001,1474134172.440651,3263466.1699999995,4271921391.4711246,3393337409.872219,876461302.1189085,4269798711.9911227,2122679.4800000642,878583981.5989087,749,NA,NA,NA,NA
Community-led local development strategies,VI.0.114,0,OP Z,03,1991915741.7800012,1693089963.4599905,262256616.25999898,36569162.059999995,1281538654.4899986,1089307840.9399993,168347998.7099997,1257655839.6499991,23882814.84000001,192230813.54999942,1293,NA,NA,NA,NA
"Reducing and preventing early school-leaving and promoting equal access to good quality early-childhood, primary and secondary education including formal, non-formal and informal learning pathways for reintegrating into education and training",VII.0.115,0,OP PPR,07,1316258806.5200002,658129403.0000002,652660065.9899999,5469337.53,648606635.7800001,324303316.86999995,321306717.7099999,645610034.58,2996601.2,324303318.90999997,804,NA,NA,NA,NA
"Reducing and preventing early school-leaving and promoting equal access to good quality early-childhood, primary and secondary education including formal, non-formal and informal learning pathways for reintegrating into education and training",VII.0.115,0,OP VVV,02,25187617869.65068,20600086106.95186,4487302678.1588335,100229084.53999996,17992299193.657124,14771942181.67591,3127929309.881299,17899871491.557144,92427702.09999998,3220357011.9812994,18378,NA,NA,NA,NA
"Improving the quality and efficiency of, and access to, tertiary and equivalent education with a view to increasing participation and attainment levels, especially for disadvantaged groups",VII.0.116,0,OP VVV,02,10657351440.060009,8680333634.189997,1689777010.8100016,287240795.0599999,7167968258.880002,5850854750.879996,1075572521.6800008,6926427272.559998,241540986.32000002,1317113508.0000014,420,NA,NA,NA,NA
"Investment in institutional capacity and in the efficiency of public administrations and public services at the national, regional and local levels with a view to reforms, better regulation and good governance",VIII.0.119,0,OP Z,03,5148724852.917981,4231941000.973503,886683813.000373,30100038.94410949,3114305011.0135903,2556942857.713974,532234164.0217682,3089177021.7357426,25127989.277847897,557362153.299616,621,NA,NA,NA,NA
NA,NA,1,PRV,NA,NA,NA,NA,NA,10552666,5223552,NA,NA,NA,5329114,NA,1.1.1-Vzdělávací akce,1,Projektová opatření,1
NA,NA,1,PRV,NA,NA,NA,NA,NA,17736550,8779573,NA,NA,NA,8956977,NA,1.2.1-Informační akce,1,Projektová opatření,1
NA,NA,0,PRV,NA,NA,NA,NA,NA,5064036,2506691,NA,NA,NA,2557345,NA,16.1.1-PE 16.1.1,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,119800433,59301207,NA,NA,NA,60499226,NA,"16.2.1-Podpora vývoje nových produktů, postupů a technologií",NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,1425520552,705632661,NA,NA,NA,719887891,NA,"16.2.2-Podpora vývoje nových produktů, postupů a technologií",NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,23444689,11605116,NA,NA,NA,11839573,NA,16.3.1-PE 16.3.1,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,1560265225,998606513.6,NA,NA,NA,561658711.4,NA,19.2.1-Podpora provádění operací v rámci komunitně vedeného,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,3417031,2186896,NA,NA,NA,1230135,NA,19.3.1-PE 19.3.1,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,207511920,102718316,NA,NA,NA,104793604,NA,20.1-Podpora technické pomoci (mimo CSV),NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,33083552,16376326,NA,NA,NA,16707226,NA,20.2-Podpora pro zřízení a činnost CSV,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,8151341343,4034912512.72,NA,NA,NA,4116428830.28,NA,4.1.1-Investice do zemědělských podniků,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,1870907660,926098960,NA,NA,NA,944808700,NA,4.2.1-Zpracování a uvádění na trh zemědělských produktů,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,2756088829,1364263827,NA,NA,NA,1391825002,NA,4.3.1-Pozemkové úpravy,NA,Projektová opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,671466497,332375802,NA,NA,NA,339090695,NA,4.3.2-Lesnická infrastruktura,NA,Projektová opatření,NA
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,925694805.03,458218221.52,NA,NA,NA,467476583.51,NA,6.1.1-Zahájení činnosti mladých zemědělců,6,Projektová opatření,6
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,471381398,233333660,NA,NA,NA,238047738,NA,6.4.1-Investice do nezemědělských činností,6,Projektová opatření,6
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,185921951,92031330,NA,NA,NA,93890621,NA,6.4.2-Podpora agroturistiky,6,Projektová opatření,6
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,21946709,10863614,NA,NA,NA,11083095,NA,6.4.3-Investice na podporu energie z obnovitelných zdrojů,6,Projektová opatření,6
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,52156617,25817516,NA,NA,NA,26339101,NA,8.3.1-Zavádění preventivních opatření v lesích,8,Projektová opatření,8
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,128356732,63536537,NA,NA,NA,64820195,NA,8.4.1-Obnova lesních porostů po kalamitách,8,Projektová opatření,8
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,28497569,14106292,NA,NA,NA,14391277,NA,8.4.2-Odstraňování škod způsobených povodněmi,8,Projektová opatření,8
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,32007332,15843561,NA,NA,NA,16163771,NA,8.5.1-Investice do ochrany melioračních a zpevňujících dřevi,8,Projektová opatření,8
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,116673057,57753103,NA,NA,NA,58919954,NA,8.5.2-Neproduktivní investice v lesích,8,Projektová opatření,8
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,109453796,54179621,NA,NA,NA,55274175,NA,8.5.3-Přeměna porostů náhradních dřevin,8,Projektová opatření,8
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,477232720,236229945,NA,NA,NA,241002775,NA,8.6.1-Technika a technologie pro lesní hospodářství,8,Projektová opatření,8
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,111471771,55178496,NA,NA,NA,56293275,NA,8.6.2-Technické vybavení dřevozpracujících provozoven,8,Projektová opatření,8
NA,NA,1,PRV,NA,NA,NA,NA,NA,12896222457.44,9672808263.87,NA,NA,NA,3223414193.57,NA,AEKO-Agroenvironmentálně-klimatické opatření (AEKO),AEKO,Plošná opatření,AEKO-Agroenvironmentálně-klimatické opatření (AEKO)
NA,NA,0,PRV,NA,NA,NA,NA,NA,143396206.46,107555281.89,NA,NA,NA,35840924.57,NA,AEO-Agroenvironmentální opatření 2007-13 (AEO),NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,8680053794.65,6510540691.67,NA,NA,NA,2169513102.98,NA,ANC-ANC,NA,Plošná opatření,NA
NA,NA,1,PRV,NA,NA,NA,NA,NA,5466893578.45,4100404216.54,NA,NA,NA,1366489361.91,NA,EKOZ-Ekologické zemědělství (EZ),EKOZ,Plošná opatření,EKOZ-Ekologické zemědělství (EZ)
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,107650775.53999999,80738535.96,NA,NA,NA,26912239.58,NA,ELESP-Péče a náhrada,ELESP,Plošná opatření,ELESP-Péče a náhrada
NA,NA,0,PRV,NA,NA,NA,NA,NA,13561320.19,10170985.28,NA,NA,NA,3390334.91,NA,GEN-GEN,NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,-34875,-26156.25,NA,NA,NA,-8718.75,NA,I.1.1.1-Modernizace zemědělských podniků,NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,-175944.13,-131958.1,NA,NA,NA,-43986.03,NA,I.1.1.1.a-Modernizace zemědělských podniků,NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,130502,64598,NA,NA,NA,65904,NA,I.3.1.b-Další odborné vzdělávání a informační činnost,NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,6364572,3150463,NA,NA,NA,3214109,NA,"III.1.3.b-Ubytování, sport",NA,Plošná opatření,NA
NA,NA,1,PRV,NA,NA,NA,NA,NA,33974260.9,25480620.42,NA,NA,NA,8493640.48,NA,LEOD-Lesnicko-environmentální opatření (LEO),LEOD,Plošná opatření,LEOD
NA,NA,1,PRV,NA,NA,NA,NA,NA,18111505.419999998,13583613.92,NA,NA,NA,4527891.5,NA,LESND-Natura 2000 v lesích,Natura,Plošná opatření,Natura
NA,NA,1,PRV,NA,NA,NA,NA,NA,4751134404.82,3563563261.2599998,NA,NA,NA,1187571143.56,NA,LFA-Méně příznivé oblasti (LFA),LFA,Plošná opatření,LFA-Méně příznivé oblasti (LFA)
NA,NA,1,PRV,NA,NA,NA,NA,NA,50316366.39,37738356.82,NA,NA,NA,12578009.57,NA,"NAT-Natura 2000 na zemědělské půdě",Natura,Plošná opatření,Natura
NA,NA,0,PRV,NA,NA,NA,NA,NA,130612367.79,97959317.86,NA,NA,NA,32653049.93,NA,POR-Zachování porostního typu,NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,14197879.57,10648941.65,NA,NA,NA,3548937.92,NA,PPO-PPO,NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,360348391.45,178367237.6,NA,NA,NA,181981153.85,NA,PUZCP-Předčasné ukončení zemědělské činnosti (PUZČ),NA,Plošná opatření,NA
NA,NA,0,PRV,NA,NA,NA,NA,NA,3151410605.91,1560227897.37,NA,NA,NA,1591182708.54,NA,WLF-Dobré životní podmínky zvířat (Welfare/DŽPZ),NA,Plošná opatření,NA
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,11785416.06,8839234.58,NA,NA,NA,2946181.48,NA,ZZPLP-Zalesnění zemědělské půdy (ZZP),ZZPLP,Plošná opatření,ZZPLP-Zalesnění zemědělské půdy (ZZP)
NA,NA,0.4,PRV,NA,NA,NA,NA,NA,6447153.27,4835383.36,NA,NA,NA,1611769.91,NA,ZZPPN-Podpora zalesňování/zakládání lesů včetně nákladů na z,ZZPPN,Plošná opatření,ZZPPN-Podpora zalesňování/zakládání lesů včetně nákladů na z
